"","age_ce","estimate","lower_ci","upper_ci"
"396",395,-0.353386385620446,-0.620665476818341,-0.0861072944225506
"397",396,-0.353915590372367,-0.620978543212652,-0.0868526375320826
"398",397,-0.354444795124289,-0.621291609606964,-0.0875979806416145
"399",398,-0.354973999876211,-0.621604676001275,-0.0883433237511465
"400",399,-0.355503204628132,-0.621917742395586,-0.0890886668606784
"401",400,-0.356032409380054,-0.622230808789897,-0.0898340099702104
"402",401,-0.356561614131975,-0.622543875184209,-0.0905793530797423
"403",402,-0.357090818883897,-0.62285694157852,-0.0913246961892743
"404",403,-0.357620023635819,-0.623170007972831,-0.0920700392988062
"405",404,-0.35814922838774,-0.623483074367142,-0.0928153824083382
"406",405,-0.358687625403811,-0.623805046986295,-0.0935702038213271
"407",406,-0.359258270724801,-0.624158264427149,-0.0943582770224517
"408",407,-0.35982891604579,-0.624511481868003,-0.0951463502235764
"409",408,-0.360399561366779,-0.624864699308857,-0.095934423424701
"410",409,-0.360970206687769,-0.625217916749711,-0.0967224966258257
"411",410,-0.361540852008758,-0.625571134190566,-0.0975105698269503
"412",411,-0.362111497329747,-0.62592435163142,-0.098298643028075
"413",412,-0.362682142650737,-0.626277569072273,-0.0990867162291996
"414",413,-0.363252787971726,-0.626630786513128,-0.0998747894303243
"415",414,-0.363823433292715,-0.626984003953982,-0.100662862631449
"416",415,-0.364394078613705,-0.627337221394836,-0.101450935832574
"417",416,-0.364964723934694,-0.62769043883569,-0.102239009033698
"418",417,-0.365535369255683,-0.628043656276544,-0.103027082234823
"419",418,-0.366106014576673,-0.628396873717398,-0.103815155435948
"420",419,-0.366676659897662,-0.628750091158252,-0.104603228637072
"421",420,-0.367247305218651,-0.629103308599106,-0.105391301838197
"422",421,-0.367817950539641,-0.62945652603996,-0.106179375039321
"423",422,-0.36838859586063,-0.629809743480814,-0.106967448240446
"424",423,-0.368959241181619,-0.630162960921668,-0.107755521441571
"425",424,-0.369529886502609,-0.630516178362522,-0.108543594642695
"426",425,-0.370088901153866,-0.630857968472395,-0.109319833835337
"427",426,-0.370644975024069,-0.631196869214825,-0.110093080833312
"428",427,-0.371201048894271,-0.631535769957256,-0.110866327831287
"429",428,-0.371757122764474,-0.631874670699686,-0.111639574829261
"430",429,-0.372313196634676,-0.632213571442117,-0.112412821827236
"431",430,-0.372869270504879,-0.632552472184547,-0.113186068825211
"432",431,-0.373425344375081,-0.632891372926978,-0.113959315823186
"433",432,-0.373981418245284,-0.633230273669408,-0.11473256282116
"434",433,-0.374537492115487,-0.633569174411838,-0.115505809819135
"435",434,-0.375093565985689,-0.633908075154269,-0.11627905681711
"436",435,-0.375649639855892,-0.634246975896699,-0.117052303815084
"437",436,-0.376205713726094,-0.63458587663913,-0.117825550813059
"438",437,-0.376761787596297,-0.63492477738156,-0.118598797811034
"439",438,-0.3773178614665,-0.635263678123991,-0.119372044809008
"440",439,-0.377873935336702,-0.635602578866421,-0.120145291806983
"441",440,-0.378430009206905,-0.635941479608852,-0.120918538804958
"442",441,-0.378986083077107,-0.636280380351282,-0.121691785802932
"443",442,-0.37954215694731,-0.636619281093713,-0.122465032800907
"444",443,-0.380098230817512,-0.636958181836143,-0.123238279798882
"445",444,-0.380628738707831,-0.63727281969769,-0.123984657698688
"446",445,-0.381116553811038,-0.637546940825166,-0.124686166726143
"447",446,-0.381604368914245,-0.637821061952642,-0.125387675753598
"448",447,-0.382092184017452,-0.638095183080118,-0.126089184781053
"449",448,-0.38257999912066,-0.638369304207594,-0.126790693808508
"450",449,-0.383067814223867,-0.63864342533507,-0.127492202835963
"451",450,-0.383555629327074,-0.638917546462545,-0.128193711863418
"452",451,-0.384043444430281,-0.639191667590021,-0.128895220890873
"453",452,-0.384531259533489,-0.639465788717497,-0.129596729918328
"454",453,-0.385019074636696,-0.639739909844973,-0.130298238945783
"455",454,-0.385506889739903,-0.640014030972449,-0.130999747973238
"456",455,-0.38599470484311,-0.640288152099925,-0.131701257000693
"457",456,-0.386482519946318,-0.6405622732274,-0.132402766028148
"458",457,-0.386970335049525,-0.640836394354876,-0.133104275055603
"459",458,-0.387458150152732,-0.641110515482352,-0.133805784083058
"460",459,-0.387945965255939,-0.641384636609828,-0.134507293110513
"461",460,-0.388433780359147,-0.641658757737304,-0.135208802137968
"462",461,-0.388921595462354,-0.641932878864779,-0.135910311165423
"463",462,-0.389409410565561,-0.642206999992255,-0.136611820192878
"464",463,-0.389897225668768,-0.642481121119731,-0.137313329220333
"465",464,-0.39027692131291,-0.642649162062065,-0.137904679612711
"466",465,-0.390651035253266,-0.642811726578821,-0.13849034302815
"467",466,-0.391025149193622,-0.642974291095578,-0.139076006443589
"468",467,-0.391399263133978,-0.643136855612335,-0.139661669859028
"469",468,-0.391773377074334,-0.643299420129092,-0.140247333274467
"470",469,-0.39214749101469,-0.643461984645849,-0.140832996689905
"471",470,-0.392521604955046,-0.643624549162605,-0.141418660105344
"472",471,-0.392895718895402,-0.643787113679362,-0.142004323520783
"473",472,-0.393269832835758,-0.643949678196119,-0.142589986936222
"474",473,-0.393643946776114,-0.644112242712876,-0.143175650351661
"475",474,-0.39401806071647,-0.644274807229633,-0.143761313767099
"476",475,-0.394392174656826,-0.64443737174639,-0.144346977182538
"477",476,-0.394766288597182,-0.644599936263146,-0.144932640597977
"478",477,-0.395140402537538,-0.644762500779903,-0.145518304013416
