sitename,depth,age,age_ce,taxa,value,elementtype,ecologicalgroup,group
Caldeirão Connor,105,242,1708,Silene vulgaris,2,pollen,UPHE,Herb
Caldeirão Connor,115,276,1674,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,120,293,1657,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,125,309,1641,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,135,343,1607,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,165,445,1505,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,185,526,1424,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,195,3145,-1195,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,200,3497,-1547,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,210,3941,-1991,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,225,4397,-2447,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,260,5440,-3490,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,265,5557,-3607,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,270,5832,-3882,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,277,8032,-6082,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,280,9532,-7582,Silene vulgaris,3,pollen,UPHE,Herb
Caldeirão Connor,285,11032,-9082,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,295,11823,-9873,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,297,11979,-10029,Silene vulgaris,1,pollen,UPHE,Herb
Caldeirão Connor,302,12403,-10453,Silene vulgaris,3,pollen,UPHE,Herb
Caldeirão Connor,225,4397,-2447,Solanum nigrum,1,pollen,UPHE,Herb
Caldeirão Connor,260,5440,-3490,Solanum nigrum,1,pollen,UPHE,Herb
Caldeirão Connor,0,-68,2018,Spergula,1,pollen,UPHE,Herb
Caldeirão Connor,20,-16,1966,Spergula,2,pollen,UPHE,Herb
Caldeirão Connor,40,39,1911,Spergula,2,pollen,UPHE,Herb
Caldeirão Connor,50,66,1884,Spergula,5,pollen,UPHE,Herb
Caldeirão Connor,60,94,1856,Spergula,35,pollen,UPHE,Herb
